Sun x,Sun y,Mercury x,Mercury y,Venus x,Venus y,Mars x,Mars y
58.10,100.63,-22.49,-38.95,-82.21,17.47,-97.95,147.43
39.74,109.19,7.81,-44.29,-83.85,-5.86,-113.30,135.99
20.18,114.43,34.45,-28.91,-78.98,-28.75,-127.32,122.95
0.00,116.20,44.98,0.00,-68.00,-49.40,-139.86,108.48
-20.18,114.43,34.45,28.91,-51.75,-66.23,-150.76,92.75
-39.74,109.19,7.81,44.29,-31.49,-77.93,-159.89,75.92
-58.10,100.63,-22.49,38.95,-8.79,-83.59,-167.15,58.21
-74.69,89.01,-42.26,15.38,14.60,-82.77,-172.46,39.82
-89.01,74.69,-42.26,-15.38,36.85,-75.54,-175.75,20.96
-100.63,58.10,-22.49,-38.95,56.24,-62.46,-176.99,1.85
-109.19,39.74,7.81,-44.29,71.28,-44.54,-176.16,-17.27
-114.43,20.18,34.45,-28.91,80.79,-23.17,-173.26,-36.20
-116.20,0.00,44.98,0.00,84.05,0.00,-168.34,-54.70
-114.43,-20.18,34.45,28.91,80.79,23.17,-161.45,-72.56
-109.19,-39.74,7.81,44.29,71.28,44.54,-152.66,-89.57
-100.63,-58.10,-22.49,38.95,56.24,62.46,-142.10,-105.53
-89.01,-74.69,-42.26,15.38,36.85,75.54,-129.87,-120.26
-74.69,-89.01,-42.26,-15.38,14.60,82.77,-116.12,-133.58
-58.10,-100.63,-22.49,-38.95,-8.79,83.59,-101.02,-145.34
-39.74,-109.19,7.81,-44.29,-31.49,77.93,-84.73,-155.40
-20.18,-114.43,34.45,-28.91,-51.75,66.23,-67.45,-163.64
0.00,-116.20,44.98,0.00,-68.00,49.40,-49.38,-169.97
20.18,-114.43,34.45,28.91,-78.98,28.75,-30.74,-174.31
39.74,-109.19,7.81,44.29,-83.85,5.86,-11.73,-176.61
58.10,-100.63,-22.49,38.95,-82.21,-17.47,7.41,-176.84
74.69,-89.01,-42.26,15.38,-74.21,-39.46,26.47,-175.01
89.01,-74.69,-42.26,-15.38,-60.46,-58.39,45.21,-171.13
100.63,-58.10,-22.49,-38.95,-42.03,-72.79,63.43,-165.24
109.19,-39.74,7.81,-44.29,-20.33,-81.55,80.91,-157.43
114.43,-20.18,34.45,-28.91,2.93,-84.00,97.44,-147.77
116.20,0.00,44.98,0.00,25.97,-79.94,112.82,-136.38
114.43,20.18,34.45,28.91,47.00,-69.68,126.89,-123.40
109.19,39.74,7.81,44.29,64.39,-54.03,139.48,-108.97
100.63,58.10,-22.49,38.95,76.78,-34.19,150.43,-93.27
89.01,74.69,-42.26,15.38,83.23,-11.70,159.62,-76.48
74.69,89.01,-42.26,-15.38,83.23,11.70,166.95,-58.79
58.10,100.63,-22.49,-38.95,76.78,34.19,172.32,-40.42
39.74,109.19,7.81,-44.29,64.39,54.03,175.68,-21.57
20.18,114.43,34.45,-28.91,47.00,69.68,176.98,-2.47
0.00,116.20,44.98,0.00,25.97,79.94,176.21,16.66
-20.18,114.43,34.45,28.91,2.93,84.00,173.38,35.59
